Tag,Project_count,Win_count,Win:Proj
hardware,2274,451,0.1983
tizen,512,94,0.1836
twilio,825,149,0.1806
pebble,607,105,0.173
azure,673,111,0.1649
firebase,647,103,0.1592
parse,844,132,0.1564
node.js,2482,388,0.1563
git,581,90,0.1549
arduino,893,138,0.1545
heroku,633,96,0.1517
ios,3673,555,0.1511
express.js,687,103,0.1499
mongodb,1058,154,0.1456
objective-c,1063,153,0.1439
google-maps,977,140,0.1433
android,5870,813,0.1385
web,5739,771,0.1343
flask,727,97,0.1334
windows-phone,789,105,0.1331
python,3118,398,0.1276
jquery,2467,311,0.1261
angular.js,1085,136,0.1253
photoshop,637,79,0.124
c,607,75,0.1236
mac,1368,168,0.1228
windows,1915,229,0.1196
facebook,601,70,0.1165
xcode,642,73,0.1137
sql,1425,159,0.1116
php,1817,197,0.1084
.net,1406,148,0.1053
unity,1240,128,0.1032
javascript,7758,792,0.1021
java,3197,322,0.1007
html,5615,558,0.0994
css,4778,436,0.0913
c++,612,53,0.0866
ruby,1212,101,0.0833
