Tag,Project_count,Win_count,Win:Proj
venmo,138,36,0.2609
esri,155,39,0.2516
samsung-tv-sdk,150,37,0.2467
sendgrid,213,51,0.2394
alchemyapi,121,27,0.2231
salesforce,138,30,0.2174
samsung-gear,168,36,0.2143
opencv,276,59,0.2138
namecheap,109,23,0.211
weather-underground,107,22,0.2056
sketch,112,23,0.2054
intel-edison,105,21,0.2
hardware,2274,451,0.1983
jade,150,29,0.1933
bluemix,261,49,0.1877
particle,103,19,0.1845
tizen,512,94,0.1836
twitter,376,69,0.1835
raspberry-pi,264,48,0.1818
twilio,825,149,0.1806
foursquare,122,22,0.1803
oculus,316,55,0.1741
pebble,607,105,0.173
d3.js,301,52,0.1728
leap-motion,379,63,0.1662
ibm-watson,109,18,0.1651
azure,673,111,0.1649
bluetooth,197,32,0.1624
mta-data,105,17,0.1619
socket.io,275,44,0.16
backbone.js,119,19,0.1597
spotify,113,18,0.1593
firebase,647,103,0.1592
parse,844,132,0.1564
node.js,2482,388,0.1563
git,581,90,0.1549
arduino,893,138,0.1545
amazon-web-services,408,63,0.1544
adobe-illustrator,261,40,0.1533
machine-learning,144,22,0.1528
yelp,118,18,0.1525
sass,158,24,0.1519
heroku,633,96,0.1517
ios,3673,555,0.1511
youtube,120,18,0.15
express.js,687,103,0.1499
appcelerator,134,20,0.1493
mongodb,1058,154,0.1456
objective-c,1063,153,0.1439
google-maps,977,140,0.1433
myo,372,53,0.1425
nyc-open-data,246,35,0.1423
android,5870,813,0.1385
ionic,218,30,0.1376
yo,110,15,0.1364
web,5739,771,0.1343
flask,727,97,0.1334
world-bank-data,105,14,0.1333
windows-phone,789,105,0.1331
r,113,15,0.1327
digitalocean,219,29,0.1324
uber,121,16,0.1322
python,3118,398,0.1276
jquery,2467,311,0.1261
apache,287,36,0.1254
angular.js,1085,136,0.1253
photoshop,637,79,0.124
django,436,54,0.1239
c,607,75,0.1236
mac,1368,168,0.1228
sublime-text,139,17,0.1223
google-app-engine,131,16,0.1221
chrome,287,35,0.122
windows,1915,229,0.1196
xml,336,40,0.119
facebook,601,70,0.1165
xcode,642,73,0.1137
sql,1425,159,0.1116
php,1817,197,0.1084
blender,130,14,0.1077
.net,1406,148,0.1053
linux,143,15,0.1049
api,192,20,0.1042
unity,1240,128,0.1032
phonegap,166,17,0.1024
javascript,7758,792,0.1021
java,3197,322,0.1007
html,5615,558,0.0994
google,195,19,0.0974
processing,115,11,0.0957
google-places,129,12,0.093
rest,120,11,0.0917
eclipse,404,37,0.0916
css,4778,436,0.0913
c++,612,53,0.0866
reactjs,119,10,0.084
ruby,1212,101,0.0833
evernote,247,19,0.0769
meteor.js,412,24,0.0583
go,186,10,0.0538
mit-app-inventor,131,7,0.0534
coffeescript,215,11,0.0512
shell,305,12,0.0393
